surveyid,village,survey_date,femaleres,age,married,children,hhsize,edu,asset_livestock,asset_durable,asset_phone,asset_savings,asset_land_owned_total,asset_niceroof,cons_ed,cons_social,cons_other,ent_wagelabor,ent_ownfarm,ent_business,ent_nonagbusiness,ent_employees,ent_nonag_revenue,ent_nonag_flowcost,ent_farmrevenue,ent_farmexpenses,ent_animalstockrev,labor_primary,wage_expenditures,durable_investment,nondurable_investment,given_mpesa,amount_given_mpesa,received_mpesa,amount_received_mpesa,net_mpesa,saved_mpesa,amount_saved_mpesa,early_survey,depressed,day_of_week
1401,23,13-Sep-61,1,43.0,0,2,4,1,4.1303144,140.93526,32.030739000000004,0.0,0.5,0,2.0019212,3.7369196000000002,8.8084536,1,0,0,0,0,0.0,0.0,1.8417675,0.28694203,2.0019212,1,0,157.87787,2.2888632,0,0.0,0,0.0,0.0,0,0.0,0,1,4
569,50,12-Oct-61,1,22.0,1,2,4,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,5
387,49,24-Nov-61,1,41.0,1,6,8,10,86.736603,136.77126,0.0,0.0,0.0,0,14.680757,4.137304299999999,16.623955,1,0,0,0,0,0.0,0.0,14.914313,2.0603105999999998,2.4023056,1,0,314.63531,17.70199,0,0.0,0,0.0,0.0,1,0.0,0,0,6
533,101,16-Nov-61,1,20.0,1,2,4,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1,5
122,22,16-Nov-61,1,18.0,1,2,3,9,22.375139,168.16138999999998,28.827665000000003,4.0038424,0.5,0,0.0,2.6158438,38.67712,0,0,0,1,0,6.726455199999999,0.0,0.64061481,0.18684599,0.0,0,0,190.53653,4.1906881,0,0.0,0,0.0,0.0,0,0.0,0,0,5
554,30,01-Oct-61,1,38.0,1,5,8,9,104.29825,128.92372,19.218445000000003,0.0,1.0,0,20.019213,2.5357667999999998,8.7283764,0,1,0,0,0,0.0,0.0,0.10276529,0.008563774,0.0,0,0,248.43657000000002,22.430082000000002,0,0.0,0,0.0,0.0,1,0.0,0,0,1
222,21,05-Nov-61,0,24.0,0,2,3,7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,1
399,21,03-Sep-61,1,26.0,1,1,3,8,22.375139,176.16907,32.030739000000004,0.0,0.0,0,0.0,1.3346142,8.6483002,1,0,0,1,0,179.37215,143.49771,2.8026897999999996,4.2040348,8.5415306,1,0,216.16112,152.50636,0,0.0,0,0.0,0.0,0,0.0,0,0,1
1107,76,24-Oct-61,1,26.0,1,3,5,6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1,3
1133,176,31-Oct-61,1,37.0,1,5,8,10,478.47064000000006,596.09204,80.076851,160.1537,2.0,0,12.545373,15.881909,81.838539,0,0,0,0,0,0.0,0.0,4.1639962,6.4862247,0.0,1,0,1152.5576,189.27498,0,0.0,0,0.0,0.0,0,0.0,0,1,3
1152,18,14-Sep-61,1,23.0,1,4,6,14,8.2606287,59.625220999999996,0.048046108,0.0,1.2,0,0.66730708,0.66730708,17.616907,0,1,0,0,0,0.0,0.0,2.1353827,0.17794855,0.0,0,0,74.292,0.84525561,0,0.0,0,0.0,0.0,0,0.0,0,1,5
156,15,28-Sep-61,1,28.0,0,4,5,10,571.42133,250.64052999999998,32.030739000000004,0.14413834,0.69999999,0,2.6692283,3.6034582000000004,15.695063000000001,0,0,1,1,0,16.015369,8.0076847,10.009606,1.9018252,4.8046112,0,0,895.7325400000001,14.324413,0,0.0,0,0.0,0.0,0,0.0,0,0,5
467,30,12-Oct-61,1,19.0,1,1,3,7,22.375139,208.19981,40.038425,0.0,0.85000002,0,0.0,0.66730708,23.382441,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,246.59033,0.0,0,0.0,0,0.0,0.0,1,0.0,0,0,5
1010,11,01-Sep-61,1,35.0,1,3,5,9,4.1303144,375.56042,48.046108000000004,0.0,0.5,0,2.0019212,2.0019212,32.030739000000004,0,0,0,0,0,0.0,0.0,2.6692283,0.2224357,0.0,0,0,425.33453,2.2243569,1,16.015369,0,0.0,-16.015369,1,144.13834,0,0,6
588,52,12-Oct-61,1,53.0,1,3,6,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,5
296,55,17-Nov-61,1,33.0,1,3,5,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,6
2,1,11-Sep-61,1,19.0,1,2,4,6,4.1303144,133.72833,0.0,0.0,0.1,0,0.0,2.6692283,42.280578999999996,1,0,0,1,0,30.749509999999997,0.0,2.4023056,2.1353827,2.4023056,1,0,187.50628999999998,5.3384566,0,0.0,0,0.0,0.0,0,0.0,0,0,2
124,8,12-Oct-61,1,26.0,1,3,5,10,0.0,184.17676,48.046108000000004,0.0,0.0,0,0.66730708,5.3384566,3.8757194999999998,0,1,0,0,0,0.0,0.0,3.3365355,0.27804461,0.0,0,0,237.02747999999997,0.94535172,0,0.0,0,0.0,0.0,0,0.0,0,0,5
591,81,22-Nov-61,1,26.0,1,5,7,8,422.36978,196.98904,16.015369,0.0,0.5,0,1.3346142,1.0676913000000001,16.976292,0,1,0,0,0,0.0,0.0,10.743644,0.82857299,4.8046112,0,0,693.02954,10.170872,0,0.0,0,0.0,0.0,0,0.0,0,0,4
1179,19,15-Sep-61,1,49.0,0,1,2,14,8.2606287,176.16907,40.038425,19.218445000000003,1.8,0,4.0038424,2.4690363,197.62967,0,1,0,1,0,0.0,5.3384566,3.3365355,0.7051211,2.2288058,0,0,192.43738000000002,29.265865,0,0.0,0,0.0,0.0,0,0.0,0,0,6
474,35,21-Nov-61,1,20.0,1,1,3,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,3
210,27,25-Nov-61,0,48.099998,0,5,6,9,171.42671,122.35743000000001,0.0,0.0,1.0,0,10.009606,2.6692283,18.097368,1,0,0,0,0,0.0,0.0,19.351906,2.1687481,1.8684598000000001,1,0,298.58875,12.178353999999999,0,0.0,0,0.0,0.0,0,0.0,0,1,0
564,94,08-Aug-60,1,28.0,1,3,7,10,0.0,176.96983,56.053794999999994,0.0,1.5,0,1.5614985000000001,0.46711496,102.17806,0,1,0,1,0,48.046108000000004,17.750367999999998,8.0076847,5.1182456,7.2069163,0,0,184.17674,24.430113000000002,0,0.0,0,0.0,0.0,1,4.8046112,1,0,2
534,89,24-Oct-61,1,21.299999,1,1,3,10,275.72495,272.26129,32.030739000000004,0.0,1.5,0,0.0,3.0696127,26.905821000000003,0,1,0,1,0,0.0,0.0,2.6692283,0.2224357,14.413832999999999,0,0,639.2738,0.2224357,0,0.0,0,0.0,0.0,0,0.0,0,0,3
1270,114,05-Dec-61,1,42.0,1,0,3,9,522.53772,267.45667000000003,56.053794999999994,128.12296,8.0,0,15.214602,6.2193022000000004,57.735409,0,1,0,0,0,0.0,0.0,11.184067,0.48713416,7.8208394,0,0,826.82971,155.03545,0,0.0,0,0.0,0.0,0,0.0,0,0,3
303,44,05-Nov-61,1,46.0,0,0,1,1,22.375139,52.690567,0.0,22.421518,0.2,0,0.0,3.4032662000000005,9.048684100000001,0,0,1,1,0,16.015369,16.015369,0.64061481,0.053384565,0.0,0,0,78.90939300000001,38.490272999999995,0,0.0,0,0.0,0.0,0,0.0,0,0,1
749,125,27-Oct-61,1,24.0,1,2,4,9,61.954716000000005,161.75523,48.046108000000004,0.0,0.0,0,2.0019212,7.740762200000001,45.355526,0,0,1,1,0,3.203074,2.8026897999999996,8.4080696,6.2281995000000006,60.724945,0,0,223.70995,14.235884,0,0.0,0,0.0,0.0,0,0.0,0,0,6
456,71,31-Oct-61,1,30.0,1,2,4,10,41.303146000000005,163.35678000000001,32.030739000000004,32.030739000000004,0.25,0,1.8417675,4.8179574,41.736053000000005,0,0,1,1,0,0.0,4.8046112,5.0181494,7.9987879,0.0,0,0,211.06607000000002,50.519591999999996,0,0.0,0,0.0,0.0,0,0.0,0,0,3
121,7,11-May-60,1,45.0,1,4,4,9,49.563774,201.63351,31.870586,176.71358999999998,1.0,0,0.93422991,1.5614985000000001,22.34144,0,0,1,0,0,0.0,0.0,0.66730708,0.58945453,5.138264700000001,0,0,299.24341,178.23727,0,0.0,0,0.0,0.0,0,0.0,1,0,4
1328,207,31-Oct-61,1,25.0,1,4,6,10,20.651573000000003,353.93967000000004,64.06147800000001,24.023054000000002,1.0,0,4.2707653,3.203074,34.11274,0,1,0,1,0,172.96599999999998,51.249184,6.606339900000001,3.5589712,3.203074,0,0,379.39583999999996,83.101974,0,0.0,0,0.0,0.0,0,0.0,0,1,3
164,15,30-Nov-61,0,19.0,1,1,3,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,0.0,0,1,5
986,89,21-Sep-61,1,45.0,1,3,5,8,0.0,96.09221600000001,0.0,0.0,0.0,0,6.6730709,2.1353827,1.9218444,1,0,0,0,0,0.0,0.0,0.13346142,0.011121784,0.0,1,0,100.89683000000001,6.6841927,0,0.0,0,0.0,0.0,0,0.0,0,0,5
1052,63,13-Oct-61,1,40.0,0,1,3,5,28.912201,183.37599,0.0,0.0,2.0,0,3.3632275999999997,0.46711496,14.894294,1,0,0,0,0,0.0,0.0,5.0715337,2.2243569,0.0,1,0,234.70972000000003,5.5875845,0,0.0,0,0.0,0.0,0,0.0,0,0,6
634,48,25-Oct-61,0,37.0,0,0,1,12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1,4
944,80,11-Oct-61,1,21.0,1,1,3,7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,0.0,0,1,4
277,57,14-Nov-61,1,30.0,1,6,8,7,67.12541999999999,283.47205,80.076851,0.0,1.5,0,3.203074,0.66730708,34.593201,0,0,0,1,0,76.873779,17.083060999999997,2.1353827,7.9187107,3.3365355,0,0,424.26815999999997,37.814068,0,4.8046112,1,16.015369,11.210759,0,0.0,0,1,3
685,114,25-Oct-61,1,25.0,1,1,3,7,0.0,252.24208,48.046108000000004,0.0,2.5,0,0.0,0.93422991,48.1422,1,0,0,0,0,0.0,0.0,0.0,0.0,4.0038424,1,0,311.49896,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,4
975,204,06-Nov-61,1,38.0,1,3,5,13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,2
1061,207,11-Nov-61,1,48.0,1,0,2,1,0.0,86.162689,0.0,0.0,2.0,0,0.0,2.3355745999999997,2.8026897999999996,0,0,0,1,0,28.827665000000003,24.023054000000002,0.0,0.10676913,0.0,0,0,87.443916,24.129824,0,0.0,0,0.0,0.0,0,0.0,0,1,0
147,14,04-Jul-60,1,30.0,1,4,6,11,8.2606287,20.980135,0.0,0.0,1.25,0,2.0553057,1.2411911,3.203074,0,1,0,0,0,0.0,0.0,2.2021134,0.26358631,0.24023055,0,0,31.803223,2.318892,0,0.0,0,0.0,0.0,0,0.0,1,0,2
1306,233,22-Nov-61,1,26.0,1,5,7,9,229.25111,247.91792,20.819981,0.0,0.0,0,2.5357667999999998,2.3355745999999997,32.911587,0,0,1,1,0,76.873779,19.218445000000003,0.85415304,0.39148682,0.0,0,0,480.05182,22.145699,0,0.0,0,0.0,0.0,0,0.0,0,0,4
786,115,01-Nov-61,1,37.0,1,8,10,10,130.80371,16.816139,0.0,0.0,0.0,0,1.601537,16.082102,20.819981,1,0,0,1,0,48.046108000000004,0.0,0.0,0.0,0.93422991,1,0,149.22137,6.406148,0,0.0,0,0.0,0.0,0,0.0,0,0,4
145,30,01-Nov-60,0,28.200001,1,1,3,10,4.1303144,418.00116,64.06147800000001,0.0,0.0,0,3.203074,20.286135,36.354889,0,1,0,1,0,0.0,0.0,7.2069163,17.149794,4.3374963,0,0,423.733,20.352867,0,0.0,0,0.0,0.0,0,0.0,1,1,3
943,37,09-Oct-61,0,30.0,0,2,3,10,4.1303144,44.202422999999996,0.0,0.0,0.0,0,0.0,1.0009606,11.531066000000001,1,0,0,0,0,0.0,0.0,0.56053793,0.046711497000000005,0.0,1,0,67.55117800000001,0.046711497000000005,0,0.0,0,0.0,0.0,0,0.0,0,0,2
85,17,12-Nov-61,0,25.0,1,1,3,8,0.0,120.91605,24.023054000000002,0.0,0.0,0,0.0,0.26692283,17.2966,0,0,0,0,0,0.0,0.0,1.3346142,0.37814072,0.0,0,0,122.51758999999998,0.37814072,0,0.0,0,0.0,0.0,0,0.0,0,1,1
783,138,01-Nov-61,1,55.0,1,2,6,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,4
10,1,10-Sep-61,1,38.0,1,5,7,8,0.0,44.042266999999995,0.0,0.0,0.75,0,0.53384566,0.80076849,13.933372,1,0,0,0,0,0.0,0.0,1.0943836999999998,0.15792935,0.80076849,1,0,46.444571999999994,0.69177502,0,0.0,0,0.0,0.0,0,9.6092224,0,0,1
1186,251,30-Nov-61,1,43.0,1,5,7,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1,5
292,60,08-Nov-60,1,32.0,0,2,3,10,16.521257000000002,31.229971000000003,0.0,4.0038424,1.0,0,0.0,1.0143068000000002,30.669434000000003,0,1,0,0,0,0.0,0.0,0.10276529,1.0095245000000002,0.30696124,0,0,50.153534,7.4156723,0,0.0,0,0.0,0.0,0,0.0,1,0,3
769,144,14-Oct-60,1,23.0,1,3,5,8,0.0,64.862251,19.218445000000003,12.812296,6.0,0,1.2011528,1.2011528,22.581671,0,0,0,0,0,0.0,0.0,2.6692283,0.4092817,0.0,0,0,68.866096,14.42273,0,0.0,0,0.0,0.0,0,0.0,1,0,6
1370,78,24-Aug-60,1,35.0,1,2,4,6,673.99603,277.86667,40.038425,32.030739000000004,2.5,0,0.88084537,3.203074,17.937214,0,1,0,0,0,0.0,0.0,1.2812296,9.1821451,6.0057635000000005,0,0,1039.9473,42.093727,0,0.0,0,0.0,0.0,0,0.0,1,1,4
261,26,12-Sep-61,1,22.0,1,3,6,7,216.17699,134.52911,20.819981,0.0,3.5,0,1.601537,15.267985000000001,9.9295292,0,0,0,1,0,24.023054000000002,0.0,4.8179574,1.3357264,0.0,0,0,360.31531,2.9372635,0,0.0,0,0.0,0.0,0,0.0,0,0,3
